name,ingredients,prep_time,cook_time,state,course,People_liked,demand_increase_per_year,Profit_Per-Item
spicy haryana style egg curry ,"4 Whole Eggs - boiled,1 cup Green peas (Matar),200 grams Paneer (Homemade Cottage Cheese) - chopped,1 Onion - finely chopped,2 Tomatoes - pureed,2 teaspoon Ginger Garlic Paste,3 Green Chillies,2 teaspoon Coriander Powder (Dhania),1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Red Chilli powder,1/2 teaspoon Garam masala powder,1/4 cup Coriander (Dhania) Leaves - chopped",15,30,Haryana,Lunch,854,398,6
baked chana dal vada  ,"1 cup chana dal - soaked for 3 to 4 hours, 1/2 tablespoon fennel, 1/2 tablespoon cumin seeds, 2 green chillies, 8 curry leaves, 1/2 onion - finely chopped, 1/4 cup green Coriander, 1 inch ginger - finely chopped, 3 cloves garlic, salt - as per taste, 2 tablespoons oil, 1/4 tablespoon baking soda",195,20,Indian,Snack,188,288,13
achari amla mirchi vegetable  ,"10 Amla (Nellikai/ Gooseberry) - cut into bite sized cubes,3 Green Chilli - cut into 1 inch,1 tablespoon Achari masala,1 teaspoon Red Chilli powder,1/2 teaspoon Turmeric powder (Haldi),2 teaspoons Jaggery,Salt - to taste,1 teaspoon Fennel seeds (Saunf),1 teaspoon Methi Seeds (Fenugreek Seeds),1 teaspoon Mustard seeds,Sunflower Oil,1 pinch Asafoetida (hing)",10,20,North Indian Recipes,Side Dish,757,957,20
mughlai style aloo matar gobi gravy ,"1 cup Cauliflower (gobi) - florets,1/2 cup Green peas (Matar) - fresh,3 Potatoes (Aloo) - cut into cubes,1/2 teaspoon Saffron strands,1/4 cup Curd (Dahi / Yogurt),2 tablespoons Butter,1 teaspoon Cumin seeds (Jeera),Salt - as required,1 Onion - roughly chopped,4 Dry Red Chillies,1 teaspoon Coriander (Dhania) Seeds,1 inch Cinnamon Stick (Dalchini),2 Cloves (Laung),2 cloves Cardamom (Elaichi) Pods/Seeds,1/4 teaspoon Fennel seeds (Saunf)",10,25,Mughlai,Lunch,335,687,12
kimami sewai ,"1 cup Semiya (Vermicelli) - (Fine Banarsi Sewai),1 cup Khoya (Mawa),1 cup Sugar,1 cup Milk,1-1/2 cup Water,Ghee - as needed,1 teaspoon Cardamom Powder (Elaichi),1 cup Phool Makhana (Lotus Seeds) - chopped,1/4 cup Badam (Almond) - slivered,1 tablespoon Whole cashews - slivered,1 tablespoon Raisins - 1/4 for garnish,2 tablespoons Dry coconut (kopra)",10,45,Indian,Dessert,904,175,7
 chammanthi chutney ,"1 cup coconut - grated, 1 inch ginger - grated, 1 onion - finely chopped, 1 sprig curry leaves, 1/2 teaspoon asafoetida, 1 teaspoon mustard, 2 dry red chillies, 2 tablespoons oil, salt - According to taste",20,20,Indian,Side Dish,246,373,17
red beans and oats cutlet ,"1/2 cup Rajma (Large Kidney Beans),1/4 cup Soy granules,1/4 cup Instant Oats (Oatmeal) - more to dust,1 Onion - finely chopped,1 inch Ginger - grated,2 cloves Garlic - grated,Salt - as per taste,1 teaspoon Cumin powder (Jeera),1/4 teaspoon Red Chilli powder,Coriander (Dhania) Leaves - small bunch,Sunflower Oil - for shallow frying the cutlets",25,30,Indian,Snack,845,966,20
cantonese style chicken chowmein ,"1 Egg noodles,200 grams Boneless chicken,1-1/2 tablespoon Garlic - crushed,1 teaspoon Ginger - crushed,1 teaspoon Black pepper powder,1/2 cup Spring Onion Greens,1/4 cup Carrot (Gajjar),1/4 cup Cabbage (Patta Gobi/ Muttaikose),1/4 cup Red Yellow and Green Bell Peppers (Capsicum),2 Bok Choy,1 tablespoon Soy sauce,1 tablespoon Fish sauce,1 tablespoon Oyster sauce,1 tablespoon Red Chilli sauce,1 teaspoon Rice Wine Vinegar,3 tablespoon Sesame (Gingelly) Oil,Salt - as needed,Spring Onion Greens - for garnish",0,35,Chinese,Lunch,173,267,10
milk braid rolls ,"500 grams Vivatta Maida,270 grams Milk,11 grams Active dry yeast,1 Whole Egg,100 gram Butter (unsalted) - softened,50 grams Caster Sugar,8 grams Salt - or to taste,8 grams Sugar,1/2 teaspoon Vanilla Extract,Sesame seeds (Til seeds) - to sprinkle",120,20,French,Snack,672,324,9
chilli chocolate cookies ,"1-1/2 cups All Purpose Flour (Maida),1/2 cup Cocoa Powder,200 grams Chocolate Bar - unsweetened,1/2 cup Butter,2 Whole Eggs,1 teaspoon Red Chilli powder,1/2 teaspoon Baking soda,3/4 cup Brown Sugar (Demerara Sugar),1/2 cup Sugar,2 teaspoon Vanilla Extract,1/2 teaspoon Salt,1/2 cup Chocolate chips,1/2 cup Chocolate Bar - chopped to chunks",25,60,Continental,Snack,766,887,15
provençal tomato rice soup ,"1 cup Rice - semi-cooked,2 tablespoons Extra Virgin Olive Oil,1 Onion - chopped,1 Carrot (Gajjar) - chopped,3 cloves Garlic - crushed,1 teaspoon Orange Zest (Rind),1/2 teaspoon Dried Thyme Leaves,1/2 teaspoon Fennel Powder,1/2 cup Homemade tomato puree,2 cups Lukewarm Water,2 Tomatoes - chopped,1 cup Vegetable stock,1 teaspoon Salt,1 teaspoon Sugar,4-5 Basil leaves - to garnish",10,30,Fusion,Lunch,699,602,10
aloo subz dum biryani ,"2 Potatoes (Aloo) - peeled and cubed,1 Onion - sliced,1 Carrot (Gajjar) - peeled and chopped,1/2 cup Green beans (French Beans) - chopped,Del Monte Whole Corn Kernels - washed and boiled,1 Tomato - sliced,2 Cloves (Laung),1/2 inch Cinnamon Stick (Dalchini),1 tablespoon Red Chilli powder,1/2 tablespoon Turmeric powder (Haldi),1 Green Chilli - slit length wise,2 tablespoon Curd (Dahi / Yogurt) - whisked,1 tablespoon Garam masala powder,1 tablespoon Ginger Garlic Paste,Salt - to taste,1 tablespoon Ghee,2 cups Basmati rice - washed and soaked in water for 30 min,2 Cloves (Laung),2 Cardamom (Elaichi) Pods/Seeds,1/2 inch Cinnamon Stick (Dalchini),1 tablespoon Ginger Garlic Paste,Salt - to taste,2 tablespoon Coriander (Dhania) Leaves - finely chopped,2 tablespoon Lemon juice,1/2 tablespoon Garam masala powder,Saffron strands - a few dissolved in milk,2 tablespoon Caramelized onions,2 tablespoon Ghee",20,50,North Indian Recipes,Lunch,969,588,21
malabar style dates coriander chutney  ,"1/2 cup dates, 18 grams tamarind, 2 tbsp dry red chillies, 1/2 cup mint, 2 cloves garlic, 1/2 cup coriander, 1 inch ginger, salt - as per taste",0,20,Malabar,Side Dish,226,321,5
mushroom filled vol,"Puff Pastry Sheet,1 cup Button mushrooms - sliced,4 cloves Garlic - chopped,4 tablespoon Fresh cream,1 sprig Fresh Thyme leaves,1 teaspoon Red Chilli flakes,1 teaspoon Lemon juice,Salt - to taste,Whole Black Peppercorns - for seasoning",180,45,French,Appetizer,840,520,8
tomato poha with peas ,"2 cups Poha (Flattened rice),1/2 cup Green peas (Matar) - blanched,1 Onion - finely chopped,3 Tomatoes - finely chopped,1 Green Chilli - finely chopped,2 cloves Garlic - roughly pounded,1 teaspoon Fennel seeds (Saunf) - roughly pounded,1 teaspoon Mustard seeds,1/4 teaspoon Asafoetida (hing),1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Red Chilli powder,1 teaspoon Coriander Powder (Dhania),1 sprig Curry leaves,2 tablespoons Coriander (Dhania) Leaves - finely chopped for garnish,2 teaspoons Sunflower Oil,2 teaspoons Lemon juice,Salt - to taste",10,10,North Indian Recipes,North Indian Breakfast,713,682,2
methi sprouts salad  ,"1 cup Methi Seeds (Fenugreek Seeds) - sprouts,1/3 cup Peanuts,1 Onion - finely chopped,1 Tomato - finely chopped,2 sprig Coriander (Dhania) Leaves,Salt - to taste,1/2 teaspoon Black pepper powder,1 tablespoon Lemon juice,1/2 teaspoon Chaat Masala Powder",15,0,Indian,Appetizer,463,863,29
lebanese style caramelized onion pilaf with fried eggs ,"1 cup Foxtail Millet,1/2 cup Masoor Dal (Whole),1/2 cup Sweet corn,2 Onion - sliced,4 cloves Garlic - chopped,1 inch Cinnamon Stick (Dalchini),1 teaspoon Cumin seeds (Jeera),1 tablespoon Cumin powder (Jeera),1 teaspoon Black pepper powder,1 teaspoon Sugar,1 Whole Egg,Salt and Pepper - to taste",10,30,Middle Eastern,Lunch,773,765,7
thai style paneer toast ,"8 Whole Wheat Brown Bread,1 Whole Egg,1 cup Paneer (Homemade Cottage Cheese) - crumbled,Salt - to taste,1 teaspoon Soy sauce,5 sprig Coriander (Dhania) Leaves,1 Green Chilli,5 cloves Garlic,1 teaspoon Coriander (Dhania) Seeds,1 teaspoon Whole Black Peppercorns,1 teaspoon Sesame seeds (Til seeds),1 Fresh Red chillies - sliced,1 sprig Coriander (Dhania) Leaves",10,30,Thai,World Breakfast,943,371,4
sprouted moong chaat ,"1 teaspoon Sunflower Oil,1/4 teaspoon Mustard seeds,1/4 teaspoon Cumin seeds (Jeera),2 inch Ginger - finely chopped,2 Green Chillies - finely chopped,1/4 teaspoon Turmeric powder (Haldi),2 sprig Curry leaves - finely chopped,2 cups Green Moong Sprouts,2 sprig Mint Leaves (Pudina) - Salt to taste,2 sprig Coriander (Dhania) Leaves - Juice from one lemon,3 sprig Coriander (Dhania) Leaves - finely chopped,1 cup Mint Leaves (Pudina),1 Green Chilli - roughly chopped,1 inch Ginger - roughly chopped,2 cloves Garlic,2 tablespoons Badam (Almond),1/2 Lemon - Juice squeezed,1 tablespoon Jaggery,Salt - to taste,1 Onion - finely chopped,1 Tomato - finely chopped,1/2 cup Fresh Pomegranate Fruit Kernels,4 sprig Coriander (Dhania) Leaves - finely chopped,Chaat Masala Powder - for sprinkling",25,10,North Indian Recipes,Snack,163,673,1
hunase saaru  ,"1/2 cup Tamarind - soaked and pulped (you can also try this recipe for preparing tamarind water),1 tablespoon Cumin seeds (Jeera),1 teaspoon Mustard seeds,1 pinch Asafoetida (hing),12 Curry leaves,4 Dry Red Chillies,1 teaspoon Rasam Powder - or red chilly powder,2 tablespoon Jaggery - powdered,Salt - to taste,1 tablespoon Ghee",10,20,Karnataka,Dinner,933,843,27
eggless custard cookie ,"1-3/4 cup All Purpose Flour (Maida),1/2 cup Vanilla custard - powder,1/2 teaspoon Baking powder,1/2 cup Icing Sugar,1 cup Butter,3/4 teaspoon Vanilla Extract",15,45,Continental,Snack,428,409,8
egg dosa ,"2 cups Rice,1/4 cup White Urad Dal (Split),2 tablespoon Chana dal (Bengal Gram Dal),1/2 tablespoon Methi Seeds (Fenugreek Seeds),1 cup Instant Oats (Oatmeal),Salt - to taste,Water - required for grinding,6 Whole Eggs,1/2 cup Onion - finely chopped,1/2 cup Coriander (Dhania) Leaves - finely chopped,Green Chillies - chopped,Sunflower Oil - for drizzling",10,18,South Indian Recipes,South Indian Breakfast,642,403,25
sweet potato balls  stuffed with cheesy garlic mayo ,"3 Sweet Potatoes - large one,4 sprigs Coriander (Dhania) Leaves - finely chopped,1 teaspoon Red Chilli powder,1 teaspoon Cumin powder (Jeera),1/2 teaspoon Amchur (Dry Mango Powder),1/4 cup Rice flour,3 tablespoon Corn flour,1/2 cup Whole Wheat Bread crumbs,Salt - to taste,1/4 cup Del Monte Cheesy Garlic Mayo,1 teaspoon Whole Black Peppercorns - coarsely pounded,Sunflower Oil - for deep frying",30,30,Appetizer,South Indian Breakfast,853,255,11
baked palak ki mathri  (baked spinach spicy tea,"2 cups Whole Wheat Flour,1 cup Sooji (Semolina/ Rava),4 tablespoons Ghee,1 teaspoon Ajwain (Carom seeds),Salt - to taste,100 grams Spinach Leaves (Palak) - chopped",20,40,Indian,Snack,327,501,9
mixed vegetable handi ,"2 tablespoons Sunflower Oil,1 tablespoon Cumin seeds (Jeera),2 Bay leaves (tej patta),1 Onion - 1/2 diced and 1/2 thinly sliced,1 teaspoon Ginger - finely chopped,1 teaspoon Garlic - finely chopped,1 teaspoon Green Chilli - finely chopped,4 Tomatoes,7 Cashew nuts,1 tablespoon Kashmiri Red Chilli Powder,1 tablespoon Turmeric powder (Haldi),1/2 tablespoon Garam masala powder,1/2 tablespoon Coriander Powder (Dhania),1 tablespoon Butter,Salt - to taste,1/2 cup Carrots (Gajjar) - diced,1/4 cup Sweet corn,1/4 cup Green peas (Matar),1/4 cup Green beans (French Beans) - chopped,1/2 cup Green Bell Pepper (Capsicum) - chopped,1/2 cup Cauliflower (gobi) - chopped,1/2 cup Button mushrooms - chopped,1/2 cup Paneer (Homemade Cottage Cheese) - cubed,1 cup Water,1 tablespoon Curd (Dahi / Yogurt),1 tablespoon Fresh cream,1 tablespoon Kasuri Methi (Dried Fenugreek Leaves),1 tablespoon Coriander (Dhania) Leaves - chopped,1 tablespoon Mint Leaves (Pudina) - chopped,1/2 Lemon - juice",20,25,North Indian Recipes,Lunch,238,386,10
aloo matar sabzi  ,"2 Potatoes - peeled and chopped, 1/2 cup green peas - steam, 1 onion - finely chopped, 1 inch ginger, 1 cup tomato - puree, 1/2 teaspoon cumin seeds, 2 green chillies - thin and straight. Cut it, 1/2 tsp garam masala powder, 1/2 tsp turmeric powder, 1/2 tsp red chilli powder, 1 tsp kasoori methi, salt - as per taste, 1/4 tsp sugar - as per taste, 1 teaspoon Nutralite Classic Spread - As Per Usage",4,40,Punjabi,Side Dish,381,531,12
frozen royal crumb ,"4 Whole Wheat Brown Bread - cut into round shape,1/4 cup Sugar,3/4 cup Water,Ghee - for deep frying,2 cups Milk,1/4 cup Condensed Milk - sweetened,1 tablespoon Thandai Masala,Badam (Almond) - as required,Pistachios - as required",10,30,North Indian Recipes,Dessert,175,743,7
macha mahura  ,"1/4 cup Kaddu (Parangikai/ Pumpkin),2 Colocasia root (Arbi),1/4 cup Elephant yam (Suran/Senai/Ratalu),2 Plantain Stem,2 tablespoon Kala Chana (Brown Chickpeas),5 Badi (wadi) - fried,500 grams Rohu fish,1 tablespoon Coriander (Dhania) Seeds,1 teaspoon Fennel seeds (Saunf),4 Cloves (Laung),1 teaspoon Cumin seeds (Jeera),1 tablespoon Whole Black Peppercorns,1 inch Cinnamon Stick (Dalchini),1 teaspoon Turmeric powder (Haldi),1 teaspoon Panch Phoran Masala,1 Onion - finely sliced,1 tablespoon Ginger Garlic Paste,Salt - as required,2 tablespoon Sunflower Oil,Water - as needed",10,20,Oriya Recipes,Dinner,654,469,20
 chettinad muttai masala,"4 अंडे - उबालकर,1 कप प्याज - पतला काट ले,1 टमाटर - पतला काट ले,2 छोटे चमच्च धनिया पाउडर,1 छोटा चमच्च गरम मसाला पाउडर,1/2 छोटा चमच्च लाल मिर्च पाउडर,1 दाल चीनी,2 लॉन्ग,2 बड़े चमच्च तेल,नमक - स्वाद अनुसार,2 बड़े चमच्च धनिये के बीज,4 कली लहसुन,2 इंच अदरक,3 बड़े चमच्च नारियल - कस ले,2 छोटे चमच्च सौंफ,1 छोटा चमच्च पूरी काली मिर्च,2 छोटे चमच्च खस खस,1 छोटा चमच्च जीरा,1 सुखी लाल मिर्च",20,30,Chettinad,Lunch,629,886,21
amarod wright  ,"1 Guava,2 cups Curd (Dahi / Yogurt),Salt - a pinch,1 teaspoon Mustard seeds,1 teaspoon White Urad Dal (Split),1 sprig Curry leaves,1 Dry Red Chilli,1 pinch Asafoetida (hing),Sunflower Oil",15,0,Indian,Side Dish,296,470,21
roasted pumpkin spinach and walnut spaghetti ,"400 grams Spaghetti Pasta,10 cloves Garlic,3 tablespoons Extra Virgin Olive Oil,2 teaspoons Red Chilli flakes,2 teaspoons Mixed Herbs (Dried),200 grams Kaddu (Parangikai/ Pumpkin) - skin peeled and chopped,1 cup Spinach Leaves (Palak) - roughly chopped,1/4 cup Walnuts - roasted,Salt - to taste",10,25,Italian Recipes,Dinner,786,947,7
oat banana pancakes ,"1 cup Instant Oats (Oatmeal),1/4 teaspoon Baking soda,1/2 Ripe Bananas - spotty,1 teaspoon Baking powder,1 teaspoon Vanilla Extract,Salt - a pinch,1/2 cup Buttermilk - slightly thick,2 tablespoon Sugar,Butter - or coconut oil to cook as needed.,Strawberries - as needed,Chocolate sauce - as needed",15,20,Continental,World Breakfast,626,205,21
mutton dum biryani ,"8 Onions - thinly sliced,1/4 cup Ginger - chopped,1/4 cup Garlic - cloves,7 Green Chillies,1 Bay leaves (tej patta) - torn,2 Cardamom (Elaichi) Pods/Seeds,1 inch Cinnamon stick,3 Cloves (Laung),2 cups Basmati rice - washed and soaked for 30 minutes,Salt - to taste,500 grams Mutton - curry cut,1 cup Hung Curd (Greek Yogurt),1 tablespoon Ginger Garlic Paste,1 teaspoon Red Chilli powder,1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Garam masala powder,Salt - to taste,2 Bay leaves (tej patta),2 inch Cinnamon Stick (Dalchini),4 Cloves (Laung),1 Mace (Javitri),4 Dagad phool (/pathar phool/black stone flower),1 teaspoon Red Chilli powder,1/4 teaspoon Garam masala powder,2 Tomatoes - finely chopped,1/2 cup Mint Leaves (Pudina) - chopped,Salt - to taste,1/2 cup Milk,Saffron strands - a few,4 tablespoons Sunflower Oil,4 Ghee,2 cups Whole Wheat Flour - for sealing the vessel",30,60,North Indian Recipes,Lunch,863,236,28
pita saga bati basa ,"2 cup Pita saga - (glinus oppositifolius),1 Potato (Aloo),1 Tomato,1 Onion,1 Brinjal (Baingan / Eggplant),4 cloves Garlic,2 Green Chillies,4 Badi (wadi) - (sun dried lentil dumpling),1 teaspoon Mustard seeds,1 teaspoon Cumin seeds (Jeera),1 teaspoon Turmeric powder (Haldi),Salt - as needed,2 tablespoons Mustard oil",10,15,Oriya Recipes,Dinner,601,218,3
mint coriander spice pulao ,"1-1/2 cups Rice - washed and soaked,1/3 cup Coriander (Dhania) Leaves - finely chopped,1 tablespoon Ghee,1/3 cup Mint Leaves (Pudina) - finely chopped,1 Star anise,1/2 teaspoon Fennel seeds (Saunf),2 Bay leaves (tej patta),1 inch Cinnamon Stick (Dalchini)",5,20,Indian,Main Course,603,143,16
maharashtrian green chilli thecha ,"15 Green Chillies - chopped,10 cloves Garlic - chopped,1 teaspoon Sunflower Oil,1/2 teaspoon Mustard seeds,1/2 teaspoon Asafoetida (hing),Salt - to taste",10,5,Maharashtrian Recipes,Side Dish,368,210,10
tart provencal with ratatouille ,"2 cups All Purpose Flour (Maida),140 grams Butter - chilled and cut into cubes,1 teaspoon Salt - if using unsalted butter,3 tablespoons Water - temperature to be cold,1 Japanese Eggplant - cut in half,1 Green zucchini - cut in half and sliced,1 Yellow Zucchini - cut in half and sliced,1 Red Bell pepper (Capsicum) - chopped,1 Yellow Bell Pepper (Capsicum) - chopped,1 Onion - chopped,3 cloves Garlic - minced,7 Tomatoes - blanched peeled and crushed,3 tablespoon Homemade tomato puree,2 sprig Fresh Thyme leaves - parsley and marjoram leaves,1/2 teaspoon Sugar,5 tablespoon Extra Virgin Olive Oil,2 teaspoon Whole Black Peppercorns - (or paprika) ,1 cup Gruyere Cheese - (or cheddar),Salt - to taste",55,80,French,Lunch,133,965,26
chettinad kathirikai chops  ,"5 Small Brinjal (Baingan / Eggplant),1/2 teaspoon Turmeric powder (Haldi),2 teaspoons Garam masala powder,2 teaspoons Red Chilli powder,2 teaspoons Jaggery,1 tablespoon Tamarind Paste,2 Tomatoes - finely chopped,Salt - to taste,2 tablespoons Black sesame seeds,2 tablespoons Raw Peanuts (Moongphali),2 teaspoon Cumin seeds (Jeera),1 inch Ginger,6 cloves Garlic,2 Onions - sliced,2 Green Chillies,1 tablespoon Gingelly oil,1 teaspoon Mustard seeds,1 pinch Asafoetida (hing),2 sprig Curry leaves",20,20,Chettinad,Main Course,375,363,10
shanghai style mantou  ,"1 cup All Purpose Flour (Maida),Salt - to taste,1/2 cup Vegetable stock - (water will also do),1 tablespoon Red Chilli sauce,4 cloves Garlic - finely chopped,1 inch Ginger - finely chopped,1/2 Red Bell pepper (Capsicum) - finely chopped,1 cup Broccoli - tiny florets,2 sprig Spring Onion (Bulb & Greens),1 tablespoon Homemade Hoisin Sauce,Salt - to taste,Black pepper powder - for seasoning",10,30,Chinese,Appetizer,717,336,22
karnataka style southekayi sippe chutney  ,"1 Mangalorean cucumber - Peel removed,4 tablespoon Fresh coconut - grated,2 Dry Red Chillies,2 teaspoon White Urad Dal (Split),2 teaspoon Chana dal (Bengal Gram Dal),18 grams Tamarind,1 teaspoon Jaggery,1 tablespoon Sunflower Oil,1 teaspoon Mustard seeds,1 sprig Curry leaves",10,10,Karnataka,Side Dish,768,953,25
savory semolina breakfast pudding ,"1 cup semolina, 1 onion - finely chopped, 1 inch ginger - tightly, 2 green chillies - finely chopped, 5 curry leaves - finely chopped, 1 carrot - peeled and finely chopped, 12 green beans - finely chopped, 1 teaspoon Rye, 1 teaspoon White Urad Dal (split), 1/4 teaspoon Asafoetida, Oil - As per use, 3 tablespoons Ghee, 1 Lemon juice, 1/2 teaspoon Sugar, Salt - as per taste",5,30,South Indian Recipes,South Indian Breakfast,862,326,2
masala dosa  with vegetable filling ,"2 cups Dosa rice,1/2 cup Black Urad Dal (Split),1 teaspoon Methi Seeds (Fenugreek Seeds),1/2 teaspoon Salt,Sunflower Oil - or castor oil as needed to fry the dosa.,1 Red Bell pepper (Capsicum) - chopped,2 Tomato - chopped,1 Red onion - chopped finely,2 Green Chillies - remove seeds and chop them fine,1/2 inch Ginger - chopped finely,2 cloves Garlic,20 Curry leaves,1 Dry Red Chilli,1/2 teaspoon Mustard seeds,1/2 teaspoon Cumin seeds (Jeera),Asafoetida (hing) - a pinch,2 tablespoon Coriander (Dhania) Leaves - chopped",10,30,South Indian Recipes,South Indian Breakfast,388,497,29
almond nu gosht  ,"300 grams of mutton - boned, 2 bay leaves, salt - as per taste, 2 onions - finely chopped, 2 tomatoes - finely chopped, 1 cup milk, 1 tablespoon ghee, 1/3 cup almonds, 1 inch ginger, 5 Bud garlic, 4 dry red chillies, 1 inch cinnamon, 5 whole black pepper, 2 long",10,20,Parsi Recipes,Main Course,183,699,18
mizoram style arsa beipenek   ,"500 grams Chicken - with bone,1 Onion - finely chopped,10 Dry Red Chilli,1 inch Ginger - chopped,6 cloves Garlic - chopped,1 teaspoon Turmeric powder (Haldi),1 tablespoon Whole Wheat Flour,Salt - to taste,2 sprig Coriander (Dhania) Leaves,Mustard oil - cooking",10,45,North East India Recipes,Lunch,450,909,3
konkan style modachia mangachi mt ,"1 cup Green Moong Dal (Whole),2 teaspoons Sunflower Oil - or ghee,1 teaspoon Mustard seeds,1 pinch Asafoetida (hing),1 sprig Curry leaves,Salt - to taste,1 Onion,2 tablespoons Dessicated Coconut,3 Dry Red Chillies,3 cloves Garlic,1 inch Ginger,1 teaspoon Cumin seeds (Jeera),1/2 teaspoon Red Chilli powder,1/2 teaspoon Turmeric powder (Haldi),1 Kokum (Malabar Tamarind) - or tomato",15,20,Konkan,Lunch,779,414,7
pudina tambuli ,"1/2 cup Mint Leaves (Pudina),1 teaspoon Cumin seeds (Jeera),3 Whole Black Peppercorns,1 Green Chilli,1/4 cup Fresh coconut - grated,1-1/2 cup Buttermilk,1 teaspoon Ghee,Salt - to taste,1 teaspoon Ghee,1/2 teaspoon Mustard seeds,1/2 teaspoon Cumin seeds (Jeera),6 Curry leaves,1 Dry Red Chilli - broken",10,5,Karnataka,Side Dish,180,426,19
eggless spicy spinach bread ,"3 cups All Purpose Flour (Maida),3 cups Onion - chopped,1 tablespoon Baking powder,Salt - as required,Spinach - A bunch,3 Green Chillies,4 cloves Garlic - finely chopped,1 teaspoon Sesame seeds (Til seeds),1/2 cup Sunflower Oil,2 tablespoons Sunflower Oil,1/2 cup Curd (Dahi / Yogurt),1 cup Milk",10,50,Continental,World Breakfast,711,172,28
palak makki ki roti  ,"1-1/2 cups Makki Ka Atta (Yellow Corn Meal Flour),1/4 cup Whole Wheat Flour,1 cup Spinach Leaves (Palak) - chopped,1 inch Ginger - grated,1 teaspoon Red Chilli powder,1 teaspoon Cumin powder (Jeera),Salt - to taste,Sunflower Oil - for cooking",25,10,North Indian Recipes,North Indian Breakfast,205,263,20
egg white frittata with roasted vegetables ,"1/2 Beetroot - peeled and sliced,1/2 Yellow Bell Pepper (Capsicum) - thinly sliced,1/3 cup Broccoli - cut into florets,1 teaspoon Extra Virgin Olive Oil,1/2 teaspoon Sea salt,4 Egg whites,1 tablespoon Cheese - optional,1/2 teaspoon Dried oregano,1 teaspoon Extra Virgin Olive Oil",10,30,Continental,World Breakfast,836,363,10
aloo dal pakoras ,"1 cup Green Moong Dal (Split) - soaked for 1 hour,1/2 inch Ginger,3 Green Chillies - (adjust according to the heat of the chillies),Salt - to taste,3 Potatoes (Aloo) - boiled and mashed,1/2 teaspoon Red Chilli powder,1/2 teaspoon Coriander Powder (Dhania),1/8 teaspoon Turmeric powder (Haldi),1 teaspoon Fennel seeds (Saunf) - coarsely powdered,1 teaspoon Lemon juice,Coriander (Dhania) Leaves - handful and finely chopped (optional),Asafoetida (hing) - a pinch,Salt - to taste,Sunflower Oil - for frying",60,20,North Indian Recipes,Snack,965,274,23
roasted potato wrap/roll  with spiced cheese spread,"4 Tortillas - (Large),1 teaspoon Extra Virgin Olive Oil,4 Potatoes (Aloo) - half boiled and cut into wedges,3 cloves Garlic - finely chopped,Dried oregano - for seasoning,1 Green Bell Pepper (Capsicum) - cut into thin strips,1 Onion - thinly sliced,4 tablespoon Britannia Cheese Spread - Asli Pepper,2 teaspoon Sweet and Spicy Red Chilli Sauce (Tomato Chilli Sauce),Salt - to taste",10,30,Mexican,Lunch,173,840,14
vankaya ulli karam  ,"16 Small Brinjal (Baingan / Eggplant),2 Onions - chopped,1 Tomato - chopped,3 cloves Garlic - finely chopped,1/2 inch Ginger - finely chopped,3 Green Chillies - slit,1 teaspoon Cumin seeds (Jeera),1 teaspoon Coriander (Dhania) Seeds,1/2 teaspoon Methi Seeds (Fenugreek Seeds),Salt - to taste,Sunflower Oil - to cook,Coriander (Dhania) Leaves - chopped",10,25,Andhra,Side Dish,398,851,20
vetrilai thogayal  ,"13-15 Betel leaves (paan) - vetrilai,6 Onion,12 cloves Garlic,1 tablespoon Coriander (Dhania) Seeds,1 tablespoon Black Urad Dal (Split),1 tablespoon Chana dal (Bengal Gram Dal),1 teaspoon Cumin seeds (Jeera),30 grams Tamarind,Salt - to taste,1/4 teaspoon Asafoetida (hing),2 tablespoon Sunflower Oil",20,20,South Indian Recipes,Side Dish,841,576,8
batata nu shaak ,"4 Potatoes - peel and chop, 1 inch ginger - tighten, 2 tomato puree, 1/2 teaspoon cumin seeds, 1/4 teaspoon mustard, 1/2 teaspoon turmeric powder, 1/4 teaspoon asafoetida, 1 teaspoon Red chili powder, 1 teaspoon coriander powder, 2 teaspoons oil, 1 green coriander - finely chopped, black salt or rock salt - as per taste, salt - as per taste, Black Salt (Kala Namak) - to taste, Salt - to taste",20,35,Gujarati Recipes﻿,Lunch,766,655,25
spicy jawla stuffed in brinjal ,"250 grams Jawla fish - sieve well and manually cleaned,1 Onion - finely chopped,250 grams Fresh coconut - grated,Tamarind Water - as required,1/2 teaspoon Red Chilli powder,1/2 teaspoon Coconut Oil,1/2 tablespoon Ginger - paste,1/2 tablespoon Garlic - paste,Salt - as per taste (most preserved fish have salt so use discretion while using the salt),5 Brinjal (Baingan / Eggplant),500 grams Fresh coconut - grated,4 Dry Red Chillies,2 teaspoon Coriander (Dhania) Seeds,1/4 teaspoon Methi Seeds (Fenugreek Seeds),1/2 teaspoon Turmeric powder (Haldi),Lemon juice - as required,1 Onion - finely chopped,2 tablespoon Sunflower Oil,Water - as required",15,20,South Indian Recipes,Lunch,803,935,10
